symbol,asof_ts,score,p_win,entry_px,sl_px,tp_px,atr,adtv_20,rank
BSE,2026-09-03 14:15:00+05:30,0.79345167,0.79345167,3306.1,3235.6727100015196,3446.9545799969605,35.2136449992402,,1
NETWEB,2026-09-03 14:15:00+05:30,0.7222707,0.7222707,5270.0,5121.851364610329,5566.2972707793415,74.0743176948353,,2
HDFCBANK,2026-09-03 14:15:00+05:30,0.6458475,0.6458475,708.75,699.9910354272977,726.2679291454048,4.379482286351189,,3
SBIN,2026-09-03 14:15:00+05:30,0.41645446,0.41645446,1023.0,1011.1766240656818,1046.6467518686363,5.9116879671590885,,4
BHARTIARTL,2026-09-03 14:15:00+05:30,0.40630433,0.40630433,1865.3,1847.4364832064966,1901.0270335870068,8.931758396751707,,5
RELIANCE,2026-09-03 14:15:00+05:30,0.38279277,0.38279277,1309.0,1295.413529390451,1336.1729412190978,6.793235304774463,,6
ICICIBANK,2026-09-03 14:15:00+05:30,0.29956052,0.29956052,1432.3,1416.1590712412499,1464.5818575174999,8.070464379375005,,7
ETERNAL,2026-09-03 14:15:00+05:30,0.250249,0.250249,326.45,320.3503425735137,338.6493148529727,3.049828713243167,,8
