symbol,isin,industry,company,series,instrument_token,exchange,asof_ist,adtv_20,passed,liq_reason
HDFCBANK,INE040A01034,Financial Services,HDFC Bank Ltd.,EQ,341249,NSE,2026-09-05T08:07:32.389902+05:30,19207674904.792503,True,
BSE,INE118H01025,Financial Services,BSE Ltd.,EQ,5013761,NSE,2026-09-05T08:07:32.389902+05:30,16946503905.065002,True,
RELIANCE,INE002A01018,Oil Gas & Consumable Fuels,Reliance Industries Ltd.,EQ,738561,NSE,2026-09-05T08:07:32.389902+05:30,13714343560.035,True,
BHARTIARTL,INE397D01024,Telecommunication,Bharti Airtel Ltd.,EQ,2714625,NSE,2026-09-05T08:07:32.389902+05:30,13012711278.554998,True,
ICICIBANK,INE090A01021,Financial Services,ICICI Bank Ltd.,EQ,1270529,NSE,2026-09-05T08:07:32.389902+05:30,12511659030.3,True,
ETERNAL,INE758T01015,Consumer Services,Eternal Ltd.,EQ,1304833,NSE,2026-09-05T08:07:32.389902+05:30,12214102869.335001,True,
NETWEB,INE0NT901020,Information Technology,Netweb Technologies India Ltd.,EQ,4462849,NSE,2026-09-05T08:07:32.389902+05:30,10899266377.92,True,
LENSKART,INE956O01016,Consumer Services,Lenskart Solutions Ltd.,EQ,194458881,NSE,2026-09-05T08:07:32.389902+05:30,9614192184.17,True,
