symbol,asof_ts,score,p_win,entry_px,sl_px,tp_px,atr,adtv_20,rank
ETERNAL,2026-09-02 14:15:00+05:30,0.7229459870715235,0.7229459870715235,326.3,319.43995342829146,340.02009314341717,3.430023285854285,,1
RELIANCE,2026-09-02 14:15:00+05:30,0.422003423167253,0.422003423167253,1313.8,1298.3227956902035,1344.7544086195928,7.738602154898227,,2
BHARTIARTL,2026-09-02 14:15:00+05:30,0.15837810757919604,0.15837810757919604,1859.9,1838.8933279735375,1901.9133440529251,10.503336013231271,,3
BSE,2026-09-02 14:15:00+05:30,0.14911721922773283,0.14911721922773283,3165.2,3094.5029948394354,3306.5940103211287,35.34850258028228,,4
SBIN,2026-09-02 14:15:00+05:30,0.12058080309497268,0.12058080309497268,1020.3,1008.8858603296377,1043.1282793407245,5.707069835181122,,5
HDFCBANK,2026-09-02 14:15:00+05:30,0.06837297082408382,0.06837297082408382,701.05,691.413554741531,720.322890516938,4.818222629234488,,6
NETWEB,2026-09-02 14:15:00+05:30,0.061645151034325656,0.061645151034325656,5102.5,4957.407737273801,5392.684525452398,72.5461313630994,,7
ICICIBANK,2026-09-02 14:15:00+05:30,0.006386196636391837,0.006386196636391837,1423.2,1409.016517753332,1451.5669644933362,7.091741123334044,,8
